Developer ID,Developer
1,1.11
2,4Sho Games LLC
3,A Thinking Ape Entertainment Ltd.
4,A Trillion Games Ltd
5,Alegrium
6,Alictus
7,Alpha Dog Games
8,Andrey Dobroradnykh
9,ANGames
10,AppLife Ltd
11,Atari
12,"Auxbrain, Inc."
13,Azur Interactive Games Limited
14,Backflip Studios
15,Banana & Co.
16,Beetroot Lab
17,bitbros Inc.
18,"Black Cigar Apps, LLC"
19,BlankMediaGames
20,Block Puzzle Games
21,Bosi Lv
22,Boy Howdy Technology LLC
23,Brainium Studios LLC
24,Brandon Stecklein
25,Bulong Chen
26,Bytro Labs GmbH
27,Chess.com
28,ChimpWorks
29,"Clickteam, LLC"
30,Clifton Garage Mobile LLC
31,Codebrew Games Inc.
32,Codito Development Inc.
33,ColdFire Games
34,"Concrete Software, Inc."
35,Crazy Panda Limited
36,Czech Games Edition
37,Da peng Sun
38,Daniel Glaser
39,David Peroutka
40,Developpement Logiciels XenyGames Inc.
41,DevStone
42,Digital Things
43,Dmitry Gushchin
44,DoubleJump Games Inc.
45,Dragonest
46,Ember Entertainment
47,eRepublik Labs
48,Erric Blarry
49,Feelingtouch Inc.
50,Felipe B. Valio
51,Firefly Studios
52,Flipline Studios
53,FlowMotion Entertainment
54,Flyclops
55,Foursaken Media
56,Fufla SIA
57,Fumb Games Ltd.
58,Fun Games For Free
59,Gaea Mobile Ltd
60,Game Circus LLC
61,GAME KNIGHT NETWORK TECHNOLOGY LIMITED
62,GameCoaster
63,GameSamba Corporation
64,GammaLateral LLC
65,Gear Games
66,Gold Town Games AB
67,Green Panda Games
68,Greener Grass
69,GRL Games
70,Haptic Apps LLC
71,HexWar Games Ltd
72,Hiker Games Joint Stock Company
73,Homa Games
74,HONGGENG YU
75,Hunted Cow Studios Ltd.
76,"Hypergames, Inc."
77,IGG.COM
78,Ilyon Dynamics Ltd.
79,InnoGames
80,Janus Anderson
81,jiazhou Zhang
82,JOYCITY Corp
83,Joycrafter
84,"Joyloft Co., Limited"
85,June Gaming
86,"Kabam Games, Inc."
87,KANO/APPS
88,Kieffer Bros.
89,KingsGroup Holdings
90,KIXEYE
91,Kolibri Games GmbH
92,Kongregate
93,Ksenia Aprelkova
94,Lamb Damu Pte. Ltd.
95,"LDW Software, LLC"
96,League of Geeks
97,Leigh Be
98,"LEXIANGCO.,LIMITED"
99,Lion Studios
100,Little Lost Fox
101,MACHBIRD TECHNOLOGY LIMITED
102,Macrobian Games
103,MADBOX
104,Madhav Patel
105,Marine Parker
106,MarkApp Co. Ltd
107,Mikko Kankainen
108,Monstro Games
109,Moonmana
110,Muhammad Ifran
111,"MunkyFun, Inc."
112,Murat Kul
113,NCSOFT Games
114,Ndemic Creations
115,NetEase Games
116,NEXON M Inc.
117,Niklas Ungman
118,Ninja Kiwi
119,Nishita Shah
120,NoGame Ltd
121,Noodlecake Studios Inc
122,North Star Games
123,NUTS POWER ONLINE ENTERTAINMENT LIMITED
124,Octigo
125,OOO Rhyboo
126,out thinking limited
127,pavsich aljosa
128,Pixel Pros
129,PIXIO LIMITED
130,Plarium Global Ltd
131,PlayFusion Ltd.
132,PopReach Incorporated
133,Promotion Software GmbH
134,Puzzle Games Factory
135,Randy Ficker
136,Rappid Studios PC
137,Raw Fury
138,Robert Grzybek
139,"RoboNacho Systems, LLC"
140,Rockbite Games
141,"Rogue Games, Incorporated"
142,Romit Dodhia
143,Round Zero
144,SAD PUPPY
145,SayGames LLC
146,Sean O'Connor
147,SEGA
148,Shengqiang Xia
149,"Shenzhen Qianhai Leyi Network Technology Co., Ltd."
150,"Shenzhen Yunbu Technology Co.,LTD"
151,Sillysoft Games
152,Simutronics Corp
153,SMG Studio
154,SOULGAME INFORMATION CO LTD
155,Sparkling Society
156,"Spiffcode, Inc."
157,Spinbot
158,Stick Sports Ltd
159,Storm8 Studios
160,"Sunborn Network Technology Co., Ltd."
161,"Tapinator, Inc."
162,Tapps Tecnologia da Informa\xe7\xe3o Ltda.
163,Tilting Point
164,Titan Mobile LLC
165,Toast - Apps and Software LLC
166,TOJOY GAME
167,Topebox Co. Ltd.
168,"Translimit, Inc."
169,Vexigo Inc
170,Vintolo Ltd
171,Vishal Sanap
172,VisualShower Corp.
173,Vitaliy Sidorov
174,WebAvenue Unipessoal Lda
175,Wenwen Zhong
176,"WESTLAKE TECHNOLOGIES CO., PTE. LTD."
177,White Wizard Games
178,"Wildworks, Inc."
179,Wojciech Grzesik
180,"WSC Solitaire, LLC"
181,Wulven Game Studios
182,Xiaoyu Ren
183,Yangcheng Liu
184,Yizhan Ye
185,YONG OK PARK
186,Youda Games Holding B.V.
187,Yso Corp
188,yu liu
189,Yuanli Wang
190,Yuri Barbashov
191,Z4
192,zhe zhang
193,Zillion Whales
194,ZlongGames
